_date_	_open_	_high_	_low_	_close_	_per_	_vol_
2020-01-06 13:10	255.88	256.05	255.80	255.93	5	118130
2020-01-06 13:15	255.93	256.05	255.87	255.88	5	101190
2020-01-06 13:20	255.96	256.00	255.83	255.91	5	33550
2020-01-06 13:25	255.94	256.05	255.87	255.98	5	57920
2020-01-06 13:30	255.98	256.00	255.76	255.79	5	80540
2020-01-06 13:35	255.79	255.88	255.75	255.88	5	44230
2020-01-06 13:40	255.82	255.90	255.71	255.81	5	71970
2020-01-06 13:45	255.87	255.94	255.82	255.89	5	44390
2020-01-06 13:50	255.82	255.89	255.58	255.79	5	231350
2020-01-06 13:55	255.79	255.84	255.55	255.66	5	141190
2020-01-06 14:00	255.76	255.89	255.66	255.89	5	58620
2020-01-06 14:05	255.89	256.05	255.84	256.05	5	143090
2020-01-06 14:10	256.05	256.25	255.87	255.96	5	157710
2020-01-06 14:15	255.97	255.97	255.87	255.89	5	6020
2020-01-06 14:20	255.87	256.12	255.87	256.06	5	145900
2020-01-06 14:25	256.06	256.33	256.06	256.33	5	83280
2020-01-06 14:30	256.33	256.33	256.06	256.16	5	38570
2020-01-06 14:35	256.10	256.43	256.10	256.31	5	86770
2020-01-06 14:40	256.34	256.38	256.11	256.11	5	106630
2020-01-06 14:45	256.15	256.15	255.86	255.91	5	175910
2020-01-06 14:50	255.91	255.99	255.81	255.88	5	243520
2020-01-06 14:55	255.87	255.87	255.55	255.71	5	210070
2020-01-06 15:00	255.74	255.91	255.55	255.55	5	206820
2020-01-06 15:05	255.55	255.68	255.53	255.57	5	224790
2020-01-06 15:10	255.57	255.70	255.54	255.56	5	57850
2020-01-06 15:15	255.56	255.70	255.32	255.65	5	344600
2020-01-06 15:20	255.65	255.82	255.61	255.61	5	76270
2020-01-06 15:25	255.63	255.82	255.55	255.73	5	220620
2020-01-06 15:30	255.73	255.77	255.15	255.23	5	310160
2020-01-06 15:35	255.23	255.26	255.01	255.24	5	505210
2020-01-06 15:40	255.21	255.30	255.04	255.05	5	291380
2020-01-06 15:45	255.08	255.24	254.92	255.08	5	559800
2020-01-06 15:50	255.08	255.30	255.05	255.12	5	91860
2020-01-06 15:55	255.13	255.16	254.91	254.92	5	217300
2020-01-06 16:00	254.91	255.15	254.80	255.03	5	478020
2020-01-06 16:05	255.06	255.08	254.85	254.95	5	89160
2020-01-06 16:10	254.93	255.16	254.90	255.10	5	80650
2020-01-06 16:15	255.09	255.27	255.05	255.17	5	133740
2020-01-06 16:20	255.20	255.20	255.01	255.02	5	118810
2020-01-06 16:25	255.09	255.15	255.01	255.11	5	59890
2020-01-06 16:30	255.14	255.28	255.10	255.20	5	232140
2020-01-06 16:35	255.19	255.30	255.09	255.10	5	288690
2020-01-06 16:40	255.08	255.24	255.03	255.20	5	90220
2020-01-06 16:45	255.17	255.17	254.95	255.06	5	537490
2020-01-06 16:50	255.06	255.09	255.00	255.06	5	113930
2020-01-06 16:55	255.06	255.09	254.95	255.00	5	252300
2020-01-06 17:00	255.07	255.07	254.96	255.05	5	90830
2020-01-06 17:05	255.06	255.20	254.95	254.98	5	237880
2020-01-06 17:10	254.97	255.14	254.95	255.09	5	83640
2020-01-06 17:15	255.10	255.19	255.04	255.10	5	96010
2020-01-06 17:20	255.10	255.20	255.04	255.20	5	77080
2020-01-06 17:25	255.15	255.59	255.10	255.35	5	381750
2020-01-06 17:30	255.40	255.51	255.30	255.36	5	121820
2020-01-06 17:35	255.38	255.99	255.36	255.83	5	391770
2020-01-06 17:40	255.82	255.82	255.46	255.69	5	151580
2020-01-06 17:45	255.71	256.00	255.68	255.93	5	238550
2020-01-06 17:50	255.91	255.96	255.84	255.91	5	97390
2020-01-06 17:55	255.90	255.99	255.80	255.97	5	158820
2020-01-06 18:00	255.97	256.00	255.87	255.98	5	117080
2020-01-06 18:05	255.98	256.05	255.91	255.92	5	214040
2020-01-06 18:10	255.92	256.02	255.80	255.91	5	180620
2020-01-06 18:15	255.91	255.98	255.83	255.84	5	119850
2020-01-06 18:20	255.84	255.88	255.67	255.83	5	282740
2020-01-06 18:25	256.55	256.55	256.55	256.55	5	2560000
2020-01-06 18:30	256.25	256.25	255.65	255.85	5	712580
2020-01-06 18:35	255.88	255.91	254.77	255.35	5	466020
