_date_,_close_,_high_,_low_,_open_
2020-01-03 13:55,261.18,261.20,261.07,261.20
2020-01-03 14:00,261.42,261.50,261.14,261.20
2020-01-03 14:05,261.37,261.57,261.32,261.43
2020-01-03 14:10,261.17,261.37,261.10,261.37
2020-01-03 14:15,260.87,261.18,260.72,261.18
2020-01-03 14:20,260.72,261.09,260.72,260.90
2020-01-03 14:25,260.70,260.90,260.66,260.72
2020-01-03 14:30,260.58,260.75,260.50,260.75
2020-01-03 14:35,260.49,260.70,260.47,260.58
2020-01-03 14:40,259.89,260.46,259.80,260.46
2020-01-03 14:45,259.83,260.00,259.73,259.89
2020-01-03 14:50,259.53,259.83,259.43,259.83
2020-01-03 14:55,259.69,259.87,259.45,259.54
2020-01-03 15:00,259.07,259.63,259.04,259.63
2020-01-03 15:05,258.96,259.17,258.76,259.07
2020-01-03 15:10,259.14,259.14,258.80,258.97
2020-01-03 15:15,259.03,259.14,259.03,259.14
2020-01-03 15:20,259.08,259.08,258.84,259.05
2020-01-03 15:25,258.94,259.06,258.90,259.02
2020-01-03 15:30,258.58,258.97,258.36,258.93
2020-01-03 15:35,258.63,258.72,258.55,258.58
2020-01-03 15:40,258.58,258.66,258.50,258.63
2020-01-03 15:45,258.66,258.75,258.57,258.57
2020-01-03 15:50,258.57,258.69,258.46,258.65
2020-01-03 15:55,258.73,258.89,258.55,258.55
2020-01-03 16:00,258.67,258.88,258.63,258.72
2020-01-03 16:05,258.89,258.98,258.62,258.73
2020-01-03 16:10,259.08,259.08,258.83,258.89
2020-01-03 16:15,258.84,259.07,258.76,259.07
2020-01-03 16:20,258.77,258.93,258.70,258.85
2020-01-03 16:25,258.65,258.91,258.61,258.83
2020-01-03 16:30,258.62,258.80,258.61,258.64
2020-01-03 16:35,258.60,258.69,258.57,258.62
2020-01-03 16:40,258.78,258.78,258.55,258.66
2020-01-03 16:45,258.61,258.78,258.60,258.78
2020-01-03 16:50,258.60,258.71,258.50,258.71
2020-01-03 16:55,258.66,258.69,258.47,258.59
2020-01-03 17:00,258.73,258.77,258.62,258.66
2020-01-03 17:05,258.86,258.91,258.74,258.78
2020-01-03 17:10,258.57,258.86,258.57,258.85
2020-01-03 17:15,258.60,258.65,258.34,258.57
2020-01-03 17:20,258.32,258.60,258.24,258.60
2020-01-03 17:25,258.08,258.40,257.77,258.34
2020-01-03 17:30,258.56,258.61,258.05,258.08
2020-01-03 17:35,258.24,258.73,258.14,258.56
2020-01-03 17:40,258.67,258.73,258.29,258.29
2020-01-03 17:45,258.93,259.00,258.67,258.73
2020-01-03 17:50,259.18,259.30,258.83,258.94
2020-01-03 17:55,259.50,259.55,259.10,259.18
2020-01-03 18:00,259.23,259.55,259.23,259.45
2020-01-03 18:05,259.50,259.50,259.14,259.23
2020-01-03 18:10,259.40,259.50,259.31,259.50
2020-01-03 18:15,259.32,259.50,259.29,259.44
2020-01-03 18:20,259.25,259.38,258.93,259.29
2020-01-03 18:25,258.80,259.25,258.77,259.25
2020-01-03 18:30,258.67,258.89,258.60,258.80
2020-01-03 18:35,258.58,258.84,258.50,258.67
2020-01-03 18:40,259.00,259.00,259.00,259.00
2020-01-03 18:45,256.80,258.96,256.66,258.91
2020-01-03 18:50,256.36,257.34,256.07,256.88
2020-01-03 18:55,256.46,256.93,256.00,256.30
2020-01-06 10:00,256.69,256.69,256.30,256.45
2020-01-06 10:05,256.31,256.75,256.28,256.69
2020-01-06 10:10,256.21,256.44,256.06,256.31
2020-01-06 10:15,256.28,256.48,256.06,256.19
2020-01-06 10:20,256.57,256.78,256.28,256.37
2020-01-06 10:25,256.50,256.63,256.33,256.56
2020-01-06 10:30,256.71,256.71,256.33,256.52
2020-01-06 10:35,256.91,257.09,256.57,256.71
2020-01-06 10:40,256.57,257.34,256.56,256.91
2020-01-06 10:45,256.96,257.21,256.56,256.66
2020-01-06 10:50,257.15,257.19,256.66,257.00
2020-01-06 10:55,257.03,257.55,257.00,257.09
2020-01-06 11:00,257.17,257.30,256.87,257.03
2020-01-06 11:05,257.54,257.56,257.22,257.29
2020-01-06 11:10,257.20,257.56,257.01,257.53
2020-01-06 11:15,256.82,257.32,256.82,257.20
2020-01-06 11:20,256.53,257.05,256.50,256.89
2020-01-06 11:25,256.51,256.57,256.30,256.54
2020-01-06 11:30,256.30,256.63,256.30,256.49
2020-01-06 11:35,256.09,256.38,256.01,256.38
2020-01-06 11:40,256.16,256.31,256.01,256.09
2020-01-06 11:45,256.29,256.30,256.04,256.11
2020-01-06 11:50,256.05,256.29,256.02,256.29
2020-01-06 11:55,256.18,256.24,255.90,256.03
2020-01-06 12:00,256.21,256.34,256.08,256.18
2020-01-06 12:05,255.98,256.25,255.80,256.21
2020-01-06 12:10,255.70,255.99,255.57,255.99
2020-01-06 12:15,255.65,255.80,255.50,255.70
2020-01-06 12:20,255.70,255.70,255.42,255.65
2020-01-06 12:25,256.04,256.05,255.55,255.67
2020-01-06 12:30,256.05,256.05,255.85,255.99
2020-01-06 12:35,256.28,256.44,256.00,256.05
2020-01-06 12:40,256.05,256.30,256.05,256.22
2020-01-06 12:45,256.13,256.23,256.02,256.06
2020-01-06 12:50,255.92,256.07,255.75,256.07
2020-01-06 12:55,255.91,256.09,255.88,256.00
2020-01-06 13:00,255.85,255.97,255.67,255.90
2020-01-06 13:05,255.87,255.92,255.70,255.85
2020-01-06 13:10,255.93,256.05,255.80,255.88
2020-01-06 13:15,255.88,256.05,255.87,255.93
2020-01-06 13:20,255.91,256.00,255.83,255.96
2020-01-06 13:25,255.98,256.05,255.87,255.94
2020-01-06 13:30,255.79,256.00,255.76,255.98
2020-01-06 13:35,255.88,255.88,255.75,255.79
2020-01-06 13:40,255.81,255.90,255.71,255.82
2020-01-06 13:45,255.89,255.94,255.82,255.87
2020-01-06 13:50,255.79,255.89,255.58,255.82
2020-01-06 13:55,255.66,255.84,255.55,255.79
2020-01-06 14:00,255.89,255.89,255.66,255.76
2020-01-06 14:05,256.05,256.05,255.84,255.89
2020-01-06 14:10,255.96,256.25,255.87,256.05
2020-01-06 14:15,255.89,255.97,255.87,255.97
2020-01-06 14:20,256.06,256.12,255.87,255.87
2020-01-06 14:25,256.33,256.33,256.06,256.06
2020-01-06 14:30,256.16,256.33,256.06,256.33
2020-01-06 14:35,256.31,256.43,256.10,256.10
2020-01-06 14:40,256.11,256.38,256.11,256.34
2020-01-06 14:45,255.91,256.15,255.86,256.15
2020-01-06 14:50,255.88,255.99,255.81,255.91
2020-01-06 14:55,255.71,255.87,255.55,255.87
2020-01-06 15:00,255.55,255.91,255.55,255.74
2020-01-06 15:05,255.57,255.68,255.53,255.55
2020-01-06 15:10,255.56,255.70,255.54,255.57
2020-01-06 15:15,255.65,255.70,255.32,255.56
2020-01-06 15:20,255.61,255.82,255.61,255.65
2020-01-06 15:25,255.73,255.82,255.55,255.63
2020-01-06 15:30,255.23,255.77,255.15,255.73
2020-01-06 15:35,255.24,255.26,255.01,255.23
2020-01-06 15:40,255.05,255.30,255.04,255.21
2020-01-06 15:45,255.08,255.24,254.92,255.08
2020-01-06 15:50,255.12,255.30,255.05,255.08
2020-01-06 15:55,254.92,255.16,254.91,255.13
2020-01-06 16:00,255.03,255.15,254.80,254.91
2020-01-06 16:05,254.95,255.08,254.85,255.06
2020-01-06 16:10,255.10,255.16,254.90,254.93
2020-01-06 16:15,255.17,255.27,255.05,255.09
2020-01-06 16:20,255.02,255.20,255.01,255.20
2020-01-06 16:25,255.11,255.15,255.01,255.09
2020-01-06 16:30,255.20,255.28,255.10,255.14
2020-01-06 16:35,255.10,255.30,255.09,255.19
2020-01-06 16:40,255.20,255.24,255.03,255.08
2020-01-06 16:45,255.06,255.17,254.95,255.17
2020-01-06 16:50,255.06,255.09,255.00,255.06
2020-01-06 16:55,255.00,255.09,254.95,255.06
2020-01-06 17:00,255.05,255.07,254.96,255.07
2020-01-06 17:05,254.98,255.20,254.95,255.06
2020-01-06 17:10,255.09,255.14,254.95,254.97
2020-01-06 17:15,255.10,255.19,255.04,255.10
2020-01-06 17:20,255.20,255.20,255.04,255.10
2020-01-06 17:25,255.35,255.59,255.10,255.15
2020-01-06 17:30,255.36,255.51,255.30,255.40
2020-01-06 17:35,255.83,255.99,255.36,255.38
2020-01-06 17:40,255.69,255.82,255.46,255.82
2020-01-06 17:45,255.93,256.00,255.68,255.71
2020-01-06 17:50,255.91,255.96,255.84,255.91
2020-01-06 17:55,255.97,255.99,255.80,255.90
2020-01-06 18:00,255.98,256.00,255.87,255.97
2020-01-06 18:05,255.92,256.05,255.91,255.98
2020-01-06 18:10,255.91,256.02,255.80,255.92
2020-01-06 18:15,255.84,255.98,255.83,255.91
2020-01-06 18:20,255.83,255.88,255.67,255.84
2020-01-06 18:25,256.55,256.55,256.55,256.55
2020-01-06 18:30,255.85,256.25,255.65,256.25
2020-01-06 18:35,255.35,255.91,254.77,255.88
2020-01-06 18:40,255.96,255.97,255.31,255.40
2020-01-06 18:45,256.30,256.49,255.96,255.96
2020-01-06 18:50,256.93,256.94,256.28,256.30
2020-01-06 18:55,256.86,257.00,256.60,256.93
2020-01-07 10:00,257.08,257.32,256.84,256.88
2020-01-07 10:05,256.86,257.20,256.70,257.07
2020-01-07 10:10,256.83,257.12,256.61,256.86
2020-01-07 10:15,256.55,256.84,256.19,256.83
2020-01-07 10:20,256.00,256.53,255.80,256.50
2020-01-07 10:25,256.20,256.25,255.95,255.96
2020-01-07 10:30,256.07,256.40,255.94,256.17
2020-01-07 10:35,256.14,256.17,255.40,255.99
2020-01-07 10:40,256.00,256.12,255.72,256.12
2020-01-07 10:45,255.68,256.10,255.65,255.94
2020-01-07 10:50,255.70,255.74,255.38,255.65
2020-01-07 10:55,255.75,255.78,255.57,255.69
2020-01-07 11:00,255.90,255.91,255.61,255.74
2020-01-07 11:05,255.78,255.93,255.66,255.89
2020-01-07 11:10,255.96,256.07,255.58,255.76
2020-01-07 11:15,255.88,255.99,255.76,255.96
2020-01-07 11:20,255.61,255.87,255.59,255.81
2020-01-07 11:25,255.51,255.70,255.30,255.64
2020-01-07 11:30,255.55,255.72,255.16,255.39
2020-01-07 11:35,255.76,255.95,255.53,255.55
2020-01-07 11:40,255.54,256.08,255.47,255.76
2020-01-07 11:45,255.50,255.64,255.41,255.54
2020-01-07 11:50,255.50,255.53,255.41,255.50
2020-01-07 11:55,255.35,255.51,255.34,255.50
2020-01-07 12:00,255.42,255.43,255.22,255.35
2020-01-07 12:05,255.55,255.55,255.37,255.38
2020-01-07 12:10,255.59,255.61,255.50,255.55
2020-01-07 12:15,255.34,255.57,255.27,255.57
2020-01-07 12:20,255.33,255.40,255.26,255.34
2020-01-07 12:25,255.26,255.46,255.21,255.34
2020-01-07 12:30,255.55,255.66,255.18,255.26
2020-01-07 12:35,255.40,255.67,255.27,255.54
2020-01-07 12:40,255.48,255.75,255.29,255.42
2020-01-07 12:45,255.47,255.50,255.31,255.47
2020-01-07 12:50,255.50,255.56,255.36,255.41
2020-01-07 12:55,255.57,255.71,255.34,255.45
2020-01-07 13:00,255.63,255.75,255.51,255.59
2020-01-07 13:05,255.69,255.78,255.65,255.65
2020-01-07 13:10,255.62,255.86,255.55,255.67
2020-01-07 13:15,255.67,256.11,255.53,255.62
2020-01-07 13:20,255.50,255.67,255.46,255.67
2020-01-07 13:25,255.59,255.62,255.46,255.50
2020-01-07 13:30,255.60,255.70,255.50,255.61
2020-01-07 13:35,255.53,255.68,255.40,255.58
2020-01-07 13:40,255.45,255.63,255.37,255.54
2020-01-07 13:45,255.42,255.55,255.40,255.46
2020-01-07 13:50,255.44,255.58,255.40,255.41
2020-01-07 13:55,255.38,255.48,255.32,255.44
2020-01-07 14:00,255.32,255.52,255.25,255.38
2020-01-07 14:05,255.26,255.37,255.18,255.32
2020-01-07 14:10,255.24,255.32,255.16,255.26
2020-01-07 14:15,255.21,255.34,255.13,255.24
2020-01-07 14:20,255.15,255.25,255.13,255.21
2020-01-07 14:25,255.10,255.25,255.04,255.16
