<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;5;20200103;130500;261.7400000;261.7500000;261.4500000;261.4600000;113860
GAZP;5;20200103;131000;261.4900000;261.5900000;261.2000000;261.3000000;217460
GAZP;5;20200103;131500;261.3600000;261.5400000;260.9400000;261.3200000;795890
GAZP;5;20200103;132000;261.3200000;261.5200000;261.2300000;261.3800000;137320
GAZP;5;20200103;132500;261.3200000;261.3300000;261.1000000;261.2000000;78190
GAZP;5;20200103;133000;261.2000000;261.4300000;261.1800000;261.4200000;80050
GAZP;5;20200103;133500;261.3800000;261.6800000;261.3400000;261.6000000;206030
GAZP;5;20200103;134000;261.6000000;261.6900000;261.5100000;261.5900000;107830
GAZP;5;20200103;134500;261.5900000;261.6000000;261.4200000;261.4400000;72890
GAZP;5;20200103;135000;261.4000000;261.4000000;261.0700000;261.1200000;143330
GAZP;5;20200103;135500;261.2000000;261.2000000;261.0700000;261.1800000;54150
GAZP;5;20200103;140000;261.2000000;261.5000000;261.1400000;261.4200000;46360
GAZP;5;20200103;140500;261.4300000;261.5700000;261.3200000;261.3700000;57760
GAZP;5;20200103;141000;261.3700000;261.3700000;261.1000000;261.1700000;70390
GAZP;5;20200103;141500;261.1800000;261.1800000;260.7200000;260.8700000;408720
GAZP;5;20200103;142000;260.9000000;261.0900000;260.7200000;260.7200000;173320
GAZP;5;20200103;142500;260.7200000;260.9000000;260.6600000;260.7000000;93470
GAZP;5;20200103;143000;260.7500000;260.7500000;260.5000000;260.5800000;165400
GAZP;5;20200103;143500;260.5800000;260.7000000;260.4700000;260.4900000;178520
GAZP;5;20200103;144000;260.4600000;260.4600000;259.8000000;259.8900000;870030
GAZP;5;20200103;144500;259.8900000;260.0000000;259.7300000;259.8300000;342900
GAZP;5;20200103;145000;259.8300000;259.8300000;259.4300000;259.5300000;361020
GAZP;5;20200103;145500;259.5400000;259.8700000;259.4500000;259.6900000;268500
GAZP;5;20200103;150000;259.6300000;259.6300000;259.0400000;259.0700000;605370
GAZP;5;20200103;150500;259.0700000;259.1700000;258.7600000;258.9600000;759730
GAZP;5;20200103;151000;258.9700000;259.1400000;258.8000000;259.1400000;165290
GAZP;5;20200103;151500;259.1400000;259.1400000;259.0300000;259.0300000;117040
GAZP;5;20200103;152000;259.0500000;259.0800000;258.8400000;259.0800000;122140
GAZP;5;20200103;152500;259.0200000;259.0600000;258.9000000;258.9400000;92180
GAZP;5;20200103;153000;258.9300000;258.9700000;258.3600000;258.5800000;464740
GAZP;5;20200103;153500;258.5800000;258.7200000;258.5500000;258.6300000;70960
GAZP;5;20200103;154000;258.6300000;258.6600000;258.5000000;258.5800000;84200
GAZP;5;20200103;154500;258.5700000;258.7500000;258.5700000;258.6600000;123590
GAZP;5;20200103;155000;258.6500000;258.6900000;258.4600000;258.5700000;156350
